epoch,final_loss,test_accuracy
1,0.19762697368860244,0.8573971518987342
2,0.2137914814054966,0.8554193037974683
3,0.23451992779970168,0.8549248417721519
4,0.23328137621283532,0.8558148734177216
5,0.23242636129260064,0.8497824367088608
6,0.24362333863973618,0.846815664556962
7,0.24894615173339843,0.8467167721518988
8,0.23932027757167817,0.8561115506329114
9,0.27307444512844087,0.8510680379746836
10,0.2592046803236008,0.8567049050632911
11,0.2671020394563675,0.8531447784810127
12,0.2694191038608551,0.8552215189873418
13,0.2726225620508194,0.8531447784810127
14,0.273041712641716,0.8542325949367089
15,0.27238037675619126,0.8542325949367089
16,0.28327182561159137,0.8493868670886076
17,0.29026715695858,0.8469145569620253
18,0.2832476253807545,0.8512658227848101
19,0.2740020081400871,0.849189082278481
20,0.2871862414479256,0.8536392405063291
21,0.275557199716568,0.8535403481012658
22,0.2758034145832062,0.8511669303797469
23,0.2804259151220322,0.8525514240506329
24,0.3014568424224853,0.8582871835443038
25,0.2885653406381607,0.8547270569620253
26,0.2790125772356987,0.8478045886075949
27,0.30078861117362976,0.8534414556962026
28,0.28138056755065916,0.857001582278481
29,0.29449420601129533,0.8555181962025317
30,0.2873062887787819,0.8544303797468354
31,0.29750578075647355,0.8501780063291139
32,0.2970444166660309,0.8592761075949367
33,0.3043427011370659,0.853935917721519
34,0.30696807950735094,0.8614517405063291
35,0.29447633981704713,0.8578916139240507
36,0.29896789461374285,0.8541337025316456
37,0.2920614558458328,0.8537381329113924
38,0.29148874700069427,0.8553204113924051
39,0.29958179861307144,0.8543314873417721
40,0.2902006569504738,0.8561115506329114
41,0.28253943800926207,0.8538370253164557
42,0.29884764790534973,0.8492879746835443
43,0.28600134372711183,0.8537381329113924
44,0.3055100220441818,0.8564082278481012
45,0.31647443294525146,0.853935917721519
46,0.29362252593040467,0.858682753164557
47,0.3010615795850754,0.8518591772151899
48,0.2913910719752312,0.8597705696202531
49,0.29576768636703493,0.8607594936708861
50,0.29135993391275405,0.8572982594936709
51,0.2901395297050476,0.8574960443037974
52,0.3031951156258583,0.8559137658227848
53,0.2765569603443146,0.858682753164557
54,0.2952732017636299,0.860067246835443
55,0.2970872747898102,0.860067246835443
56,0.2838179525732994,0.8598694620253164
57,0.2885701361298561,0.8548259493670886
58,0.2797828358411789,0.8571004746835443
59,0.2838909795880318,0.8567049050632911
60,0.28117080837488173,0.8582871835443038
61,0.2943704614043236,0.8488924050632911
62,0.2892450660467148,0.8509691455696202
63,0.2900000461935997,0.8566060126582279
64,0.28595348715782165,0.8535403481012658
65,0.2844144886732101,0.8601661392405063
66,0.2898063850402832,0.8529469936708861
67,0.2900051847100258,0.8590783227848101
68,0.2895675206184387,0.8653085443037974
69,0.28837086766958236,0.8614517405063291
70,0.2838108904659748,0.854628164556962
71,0.3043812000751495,0.8601661392405063
72,0.30016606688499453,0.8555181962025317
73,0.29692553520202636,0.8504746835443038
74,0.279112251996994,0.8609572784810127
75,0.2852789482474327,0.8580893987341772
76,0.3007687842845917,0.8541337025316456
77,0.2791338813304901,0.8606606012658228
78,0.2806290167570114,0.8595727848101266
79,0.27117077440023424,0.8632318037974683
80,0.2754483953118324,0.8628362341772152
81,0.2714016023278236,0.8627373417721519
82,0.27870059669017794,0.859375
83,0.2986830571293831,0.8605617088607594
84,0.29290008068084716,0.8637262658227848
85,0.2790122929215431,0.8636273734177216
86,0.2797657293081284,0.8639240506329114
87,0.2859586304426193,0.8599683544303798
88,0.2744285407662392,0.8588805379746836
89,0.28393969595432283,0.861056170886076
90,0.2749127009510994,0.8571993670886076
91,0.2735655689239502,0.8623417721518988
92,0.27534171611070635,0.8602650316455697
93,0.26828924208879473,0.8619462025316456
94,0.2776723721623421,0.8618473101265823
95,0.28802199274301526,0.8606606012658228
96,0.28264340162277224,0.8561115506329114
97,0.2752568343281746,0.862440664556962
98,0.26631474524736404,0.8614517405063291
99,0.2785225395858288,0.8651107594936709
100,0.26773856580257416,0.8626384493670886
101,0.2563634213805199,0.8575949367088608
102,0.2565031322836876,0.8640229430379747
103,0.27749071300029754,0.8683742088607594
104,0.278750584423542,0.8650118670886076
105,0.25986840069293976,0.8660007911392406
106,0.2870386761426926,0.8650118670886076
107,0.27808142244815826,0.8669897151898734
108,0.2688673484325409,0.858682753164557
109,0.2699846497178078,0.8599683544303798
110,0.2785615375638008,0.8592761075949367
111,0.26501418560743334,0.8677808544303798
112,0.26578270465135573,0.8575949367088608
113,0.26756146252155305,0.865506329113924
114,0.2676589548587799,0.8614517405063291
115,0.26786098927259444,0.8581882911392406
116,0.2731073820590973,0.8631329113924051
117,0.26257165402174,0.8626384493670886
118,0.2574004355072975,0.8659018987341772
119,0.26117951691150665,0.8544303797468354
120,0.26670929431915286,0.8614517405063291
121,0.2773363170027733,0.8651107594936709
122,0.26213913708925246,0.8612539556962026
123,0.2775630643963814,0.8658030063291139
124,0.26391170144081116,0.8634295886075949
125,0.2714876222610474,0.8612539556962026
126,0.26243368685245516,0.8635284810126582
127,0.2766977441310883,0.8631329113924051
128,0.2648820647597313,0.8619462025316456
129,0.2628086805343628,0.8568037974683544
130,0.2599666656553745,0.8712420886075949
131,0.25619085878133774,0.8647151898734177
132,0.2659490418434143,0.8603639240506329
133,0.2706747913360596,0.8599683544303798
134,0.26685791432857514,0.8561115506329114
135,0.25321712866425516,0.8560126582278481
136,0.25773355513811114,0.853935917721519
137,0.24511071741580964,0.865506329113924
138,0.26479802548885345,0.8611550632911392
139,0.25338993936777116,0.8626384493670886
140,0.25272432386875154,0.8553204113924051
141,0.2703881126642227,0.858682753164557
142,0.24593137353658676,0.8650118670886076
143,0.25037999242544173,0.8683742088607594
144,0.2471344590187073,0.8628362341772152
145,0.23957239896059035,0.8654074367088608
146,0.2704295367002487,0.8690664556962026
147,0.2633814865350723,0.859375
148,0.24872902244329453,0.8615506329113924
149,0.24439288973808287,0.8621439873417721
150,0.2557028529047966,0.8656052215189873
151,0.2491272509098053,0.8639240506329114
152,0.2605797892808914,0.8601661392405063
153,0.25742621496319773,0.8621439873417721
154,0.24774134635925293,0.8662974683544303
155,0.2447110167145729,0.8638251582278481
156,0.2652548894286156,0.8646162974683544
157,0.24830559134483338,0.8602650316455697
158,0.2536362689733505,0.8680775316455697
159,0.25904544204473495,0.8684731012658228
160,0.2298861911892891,0.866495253164557
161,0.24622865319252013,0.8507713607594937
162,0.24723443806171416,0.8659018987341772
163,0.24085648566484452,0.8710443037974683
164,0.2510177019238472,0.8629351265822784
165,0.24787460148334503,0.8691653481012658
166,0.25305756166577337,0.8662974683544303
167,0.24705278843641282,0.8596716772151899
168,0.24426377028226853,0.8690664556962026
169,0.2317635014653206,0.8687697784810127
170,0.23851886868476868,0.8587816455696202
171,0.24375908941030502,0.8649129746835443
172,0.24359704226255416,0.8696598101265823
173,0.22970178544521333,0.865506329113924
174,0.2543453043699265,0.8645174050632911
175,0.2357725143432617,0.8633306962025317
176,0.2447752457857132,0.864814082278481
177,0.22689935475587844,0.8632318037974683
178,0.23464234411716461,0.8685719936708861
179,0.23047860875725745,0.871934335443038
180,0.23190782934427262,0.8684731012658228
181,0.22800508350133897,0.8636273734177216
182,0.2362699529528618,0.8680775316455697
183,0.24816506013274192,0.8691653481012658
184,0.23747990667819976,0.8672863924050633
185,0.22453199461102485,0.867879746835443
186,0.2345403166115284,0.8710443037974683
187,0.22826922863721846,0.8699564873417721
188,0.2504026612639427,0.8699564873417721
189,0.23337385892868043,0.869560917721519
190,0.23681370347738265,0.8705498417721519
191,0.22753872185945512,0.8629351265822784
192,0.22894183069467544,0.870253164556962
193,0.23237614840269089,0.870253164556962
194,0.2260243824124336,0.865506329113924
195,0.22796701043844222,0.866495253164557
